date,constituency,code,households,owned,owned_outright,owned_mortgage,owned_shared_ownership,rented_social,rented_social_local_authority,rented_social_other,rented_private,rented_private_landlord,rented_private_other,rent_free
2011,Berwick-upon-Tweed,E14000554,33506,21017,11733,9284,103,5859,2895,2964,5531,4787,744,996
2011,Bishop Auckland,E14000569,39058,25340,13078,12262,109,7451,4275,3176,5530,5046,484,628
2011,Blaydon,E14000574,38768,26678,12728,13950,148,8140,6710,1430,3453,3100,353,349
2011,Blyth Valley,E14000575,36049,23485,10225,13260,114,8263,6282,1981,3748,3300,448,439
2011,City of Durham,E14000641,38131,24678,12012,12666,97,7383,5827,1556,5584,5116,468,389
2011,Darlington,E14000658,40740,25612,11520,14092,158,6839,4931,1908,7748,7087,661,383
2011,Easington,E14000677,36073,23024,10409,12615,53,8160,6272,1888,4270,3873,397,566
2011,Gateshead,E14000709,42712,20384,8336,12048,193,14716,11520,3196,7018,6440,578,401
2011,Hartlepool,E14000733,40434,24194,11090,13104,200,9515,4016,5499,5971,5525,446,554
2011,Hexham,E14000746,32612,23063,12853,10210,188,4156,1657,2499,4496,3954,542,709
2011,Houghton and Sunderland South,E14000754,38228,23632,10997,12635,155,10928,5478,5450,3235,2812,423,278
2011,Jarrow,E14000765,36941,22319,9530,12789,75,11338,9805,1533,2911,2592,319,298
2011,Middlesbrough,E14000819,38546,20407,9688,10719,208,9272,4298,4974,7940,7261,679,719
2011,Middlesbrough South and East Cleveland,E14000820,39976,27008,13196,13812,183,7632,3309,4323,4647,4175,472,506
2011,Newcastle upon Tyne Central,E14000831,38239,16387,7143,9244,167,13518,9620,3898,7630,6890,740,537
2011,Newcastle upon Tyne East,E14000832,39548,16137,7312,8825,201,12324,10084,2240,10326,9684,642,560
2011,Newcastle upon Tyne North,E14000833,39366,25431,11803,13628,121,9008,7636,1372,4362,3888,474,444
2011,North Durham,E14000840,38680,25923,11513,14410,86,7873,3590,4283,4430,4005,425,368
2011,North Tyneside,E14000853,47228,28185,11206,16979,229,12676,9249,3427,5751,5141,610,387
2011,North West Durham,E14000856,41135,28801,13660,15141,83,6866,3583,3283,4830,4289,541,555
2011,Redcar,E14000891,38286,25013,12122,12891,201,8318,4441,3877,4356,3910,446,398
2011,Sedgefield,E14000915,36656,24258,11053,13205,80,7660,5319,2341,4263,3840,423,395
2011,South Shields,E14000944,37900,20867,9490,11377,244,11951,8917,3034,4501,4038,463,337
2011,Stockton North,E14000970,38486,24246,10469,13777,117,8783,5138,3645,5040,4533,507,300
2011,Stockton South,E14000971,40673,29979,12816,17163,138,4842,2147,2695,5347,4884,463,367
2011,Sunderland Central,E14000982,43782,25866,12535,13331,105,9309,4284,5025,8108,7434,674,394
2011,Tynemouth,E14001006,44067,30951,14405,16546,145,7001,5361,1640,5549,5005,544,421
2011,Wansbeck,E14001014,36367,23642,11275,12367,105,7563,3986,3577,4642,4184,458,415
2011,Washington and Sunderland West,E14001020,37748,22068,8887,13181,92,12162,6963,5199,3209,2831,378,217
2011,Altrincham and Sale West,E14000532,39939,29587,14119,15468,284,4897,1165,3732,4766,4455,311,405
2011,Ashton-under-Lyne,E14000537,38928,24280,10976,13304,108,8235,2122,6113,5825,5291,534,480
2011,Barrow and Furness,E14000543,40165,29785,15453,14332,64,4316,3407,909,5523,4956,567,477
2011,Birkenhead,E14000559,40029,21189,9590,11599,359,9891,3253,6638,8190,7726,464,400
2011,Blackburn,E14000570,40172,24421,12701,11720,210,8775,2749,6026,6070,5458,612,696
2011,Blackley and Broughton,E14000571,45531,16602,7349,9253,392,16972,10450,6522,10744,10120,624,821
2011,Blackpool North and Cleveleys,E14000572,38074,25756,13148,12608,193,3956,2579,1377,7752,7183,569,417
2011,Blackpool South,E14000573,36523,21955,10532,11423,94,3435,2286,1149,10662,9882,780,377
2011,Bolton North East,E14000578,41183,24974,12321,12653,164,9321,6783,2538,6032,5555,477,692
2011,Bolton South East,E14000579,41400,23781,11205,12576,304,10475,7130,3345,6054,5512,542,786
2011,Bolton West,E14000580,40367,29211,13682,15529,156,6069,4558,1511,4458,4052,406,473
2011,Bootle,E14000581,42586,23900,10118,13782,286,12147,3769,8378,5762,5375,387,491
2011,Burnley,E14000609,37550,24408,11815,12593,79,5281,1418,3863,7267,6664,603,515
2011,Bury North,E14000611,36815,26030,12077,13953,115,5236,3525,1711,4922,4474,448,512
2011,Bury South,E14000612,41298,28365,12762,15603,132,6467,3789,2678,5852,5385,467,482
2011,Carlisle,E14000620,38995,26006,12749,13257,311,6478,1127,5351,5693,5147,546,507
2011,Cheadle,E14000627,37565,31450,16028,15422,220,2314,1277,1037,3229,2885,344,352
2011,Chorley,E14000637,40563,30118,13951,16167,221,5630,1309,4321,4213,3743,470,381
2011,City of Chester,E14000640,41003,26079,13079,13000,353,6645,1931,4714,7374,6685,689,552
2011,Congleton,E14000646,39691,31091,15994,15097,162,4114,797,3317,3896,3530,366,428
2011,Copeland,E14000647,34999,24845,13457,11388,125,6242,2265,3977,3235,2784,451,552
2011,Crewe and Nantwich,E14000653,45340,32168,15359,16809,196,5784,1894,3890,6751,6254,497,441
2011,Denton and Reddish,E14000661,37964,25601,11326,14275,155,6809,2180,4629,4973,4488,485,426
2011,Eddisbury,E14000686,35560,26359,13591,12768,267,4397,1704,2693,4031,3569,462,506
2011,Ellesmere Port and Neston,E14000688,37326,26940,12646,14294,212,6322,5158,1164,3432,3116,316,420
2011,Fylde,E14000706,37288,27534,14935,12599,142,2907,509,2398,6235,5561,674,470
2011,Garston and Halewood,E14000708,42669,25564,11969,13595,292,11415,2578,8837,4865,4469,396,533
2011,Halton,E14000725,40755,26172,11627,14545,155,9586,2217,7369,4383,4012,371,459
2011,Hazel Grove,E14000738,34098,26285,13548,12737,274,4298,2509,1789,2916,2591,325,325
2011,Heywood and Middleton,E14000747,44919,29161,13090,16071,235,9574,5575,3999,5395,4874,521,554
2011,Hyndburn,E14000758,39260,26535,13023,13512,94,5128,1563,3565,7037,6428,609,466
2011,Knowsley,E14000775,43800,26152,11025,15127,177,12455,5578,6877,4416,4076,340,600
2011,Lancaster and Fleetwood,E14000776,34277,22770,11886,10884,190,4104,1675,2429,6727,6103,624,486
2011,Leigh,E14000785,44748,30349,13280,17069,165,7780,6565,1215,5913,5419,494,541
2011,"Liverpool, Riverside",E14000793,52273,15450,7162,8288,445,16674,2316,14358,19094,17537,1557,610
2011,"Liverpool, Walton",E14000794,41041,19326,8401,10925,137,12347,2343,10004,8633,8141,492,598
2011,"Liverpool, Wavertree",E14000795,40221,21201,9904,11297,138,8025,973,7052,10319,9731,588,538
2011,"Liverpool, West Derby",E14000796,38693,21184,8704,12480,175,10820,2455,8365,6006,5593,413,508
2011,Macclesfield,E14000802,40935,30501,15223,15278,232,4762,1110,3652,4986,4551,435,454
2011,Makerfield,E14000805,40952,30507,13932,16575,64,5903,5055,848,4023,3679,344,455
2011,Manchester Central,E14000807,56485,15315,6021,9294,368,20282,8696,11586,19534,18548,986,986
2011,"Manchester, Gorton",E14000808,40300,15765,6620,9145,312,10293,2978,7315,13218,12488,730,712
2011,"Manchester, Withington",E14000809,40885,19216,7886,11330,261,7768,2513,5255,13145,12585,560,495
2011,Morecambe and Lunesdale,E14000825,39036,27869,14748,13121,246,3814,2346,1468,6620,5987,633,487
2011,Oldham East and Saddleworth,E14000870,41244,27121,12755,14366,194,8025,4310,3715,5336,4735,601,568
2011,Oldham West and Royton,E14000871,39456,24852,11510,13342,142,9415,3756,5659,4501,3953,548,546
2011,Pendle,E14000875,37348,25580,13435,12145,73,4333,2104,2229,6760,6192,568,602
2011,Penrith and The Border,E14000877,35686,25636,15428,10208,237,3752,530,3222,5241,4596,645,820
2011,Preston,E14000885,39104,19569,8706,10863,257,9887,2178,7709,8757,8150,607,634
2011,Ribble Valley,E14000894,40823,32106,16433,15673,205,3059,452,2607,4954,4318,636,499
2011,Rochdale,E14000897,42633,24988,11244,13744,105,10673,8096,2577,6161,5637,524,706
2011,Rossendale and Darwen,E14000902,41320,29325,12939,16386,157,5121,1699,3422,6227,5621,606,490
2011,Salford and Eccles,E14000911,49961,22592,9759,12833,256,14414,9422,4992,11927,11333,594,772
2011,Sefton Central,E14000916,35465,30324,16656,13668,80,2118,735,1383,2603,2294,309,340
2011,South Ribble,E14000943,40330,31918,15762,16156,267,4180,580,3600,3584,3173,411,381
2011,Southport,E14000958,39879,28913,15560,13353,298,2798,407,2391,7439,6883,556,431
2011,St Helens North,E14000962,41540,27957,13874,14083,242,8886,2743,6143,3860,3485,375,595
2011,St Helens South and Whiston,E14000963,43337,28961,14011,14950,231,8793,2951,5842,4813,4424,389,539
2011,Stalybridge and Hyde,E14000967,39576,25430,10787,14643,157,8669,2348,6321,4905,4423,482,415
2011,Stockport,E14000969,37804,23114,9712,13402,398,8211,5736,2475,5684,5286,398,397
2011,Stretford and Urmston,E14000979,40964,26359,11889,14470,233,9063,2626,6437,4838,4454,384,471
2011,Tatton,E14000987,36439,27441,14242,13199,199,4114,920,3194,4210,3843,367,475
2011,Wallasey,E14001010,39425,25490,11799,13691,137,5552,1649,3903,7849,7278,571,397
2011,Warrington North,E14001017,40394,27310,12108,15202,327,8238,3746,4492,4174,3741,433,345
2011,Warrington South,E14001018,44746,33605,15098,18507,310,5080,2401,2679,5375,4942,433,376
2011,Weaver Vale,E14001024,37146,25916,11650,14266,413,6666,1538,5128,3821,3457,364,330
2011,West Lancashire,E14001033,38731,27523,13307,14216,221,6311,5464,847,4166,3770,396,510
2011,Westmorland and Lonsdale,E14001037,37611,27120,16763,10357,203,3991,2469,1522,5552,4880,672,745
2011,Wigan,E14001039,44107,27907,13404,14503,83,10080,8636,1444,5325,4888,437,712
2011,Wirral South,E14001043,31022,24496,12797,11699,82,2913,1008,1905,3228,2941,287,303
2011,Wirral West,E14001044,30107,23668,12620,11048,135,2973,1356,1617,3008,2691,317,323
2011,Workington,E14001053,34586,23658,13169,10489,166,6999,963,6036,3237,2820,417,526
2011,Worsley and Eccles South,E14001054,42957,25958,11125,14833,174,11087,6887,4200,5097,4649,448,641
2011,Wyre and Preston North,E14001057,37620,31403,17245,14158,262,1727,159,1568,3774,3340,434,454
2011,Wythenshawe and Sale East,E14001059,45987,23567,9302,14265,279,15210,5682,9528,6322,5808,514,609
2011,Barnsley Central,E14000541,37871,23847,11166,12681,186,7992,6716,1276,5223,4805,418,623
2011,Barnsley East,E14000542,39031,24492,11415,13077,162,9015,7964,1051,4729,4337,392,633
2011,Batley and Spen,E14000548,43571,29215,13188,16027,146,7152,5390,1762,6263,5659,604,795
2011,Beverley and Holderness,E14000556,42949,32441,16676,15765,129,4112,3175,937,5557,4888,669,710
2011,Bradford East,E14000587,40281,23904,10222,13682,284,7495,2853,4642,7892,7215,677,706
2011,Bradford South,E14000588,40818,25830,10258,15572,164,7253,3225,4028,7004,6418,586,567
2011,Bradford West,E14000589,36963,20745,9519,11226,221,6394,2174,4220,8964,8358,606,639
2011,Brigg and Goole,E14000596,36884,26849,13198,13651,96,4384,2527,1857,5006,4540,466,549
2011,Calder Valley,E14000614,45823,31991,15115,16876,237,5979,2086,3893,7022,6362,660,594
2011,Cleethorpes,E14000643,40653,29712,14542,15170,90,4072,1314,2758,6350,5797,553,429
2011,Colne Valley,E14000645,46419,33964,16550,17414,141,4451,3592,859,7189,6529,660,674
2011,Dewsbury,E14000666,43033,29601,14386,15215,165,6902,5845,1057,5563,4998,565,802
2011,Don Valley,E14000667,40612,28451,13943,14508,149,6524,5691,833,4797,4286,511,691
2011,Doncaster Central,E14000668,44497,27628,12829,14799,117,7796,6379,1417,8208,7544,664,748
2011,Doncaster North,E14000669,41378,26681,12481,14200,152,8083,7103,980,5769,5254,515,693
2011,East Yorkshire,E14000683,43945,31439,17519,13920,156,4102,3158,944,7422,6743,679,826
2011,Elmet and Rothwell,E14000689,42308,32417,15998,16419,129,5404,4526,878,3780,3424,356,578
2011,Great Grimsby,E14000716,38612,23330,10235,13095,147,7157,2444,4713,7580,6968,612,398
2011,Halifax,E14000723,42798,26990,12556,14434,160,7515,2667,4848,7523,6752,771,610
2011,Haltemprice and Howden,E14000724,36912,30425,15658,14767,100,2404,2088,316,3540,3209,331,443
2011,Harrogate and Knaresborough,E14000730,44001,31335,15934,15401,273,4033,2203,1830,7800,7152,648,560
2011,Hemsworth,E14000740,40115,26072,12386,13686,189,9034,6572,2462,4422,3920,502,398
2011,Huddersfield,E14000756,40502,23581,11445,12136,160,8020,6059,1961,7926,7337,589,815
2011,Keighley,E14000766,39785,28846,14251,14595,246,3901,1502,2399,6236,5676,560,556
2011,Kingston upon Hull East,E14000771,40028,22178,9063,13115,175,11202,8825,2377,5853,5398,455,620
2011,Kingston upon Hull North,E14000772,39439,19028,7460,11568,121,10840,8001,2839,8937,8228,709,513
2011,Kingston upon Hull West and Hessle,E14000773,39435,19246,7881,11365,224,10194,7525,2669,9170,8692,478,601
2011,Leeds Central,E14000777,57208,18085,7029,11056,328,19442,14709,4733,18307,17508,799,1046
2011,Leeds East,E14000778,39385,20519,9124,11395,123,13004,10130,2874,5025,4638,387,714
2011,Leeds North East,E14000779,39182,25087,11750,13337,156,7093,4361,2732,6271,5825,446,575
2011,Leeds North West,E14000780,33744,20307,10414,9893,118,5110,3622,1488,7786,7332,454,423
2011,Leeds West,E14000781,41147,21185,8362,12823,225,11910,9952,1958,7223,6654,569,604
2011,Morley and Outwood,E14000826,41718,30369,12292,18077,214,5439,4009,1430,5222,4722,500,474
2011,"Normanton, Pontefract and Castleford",E14000836,46607,29400,12989,16411,247,11759,8769,2990,4791,4297,494,410
2011,Penistone and Stocksbridge,E14000876,37846,28697,14076,14621,111,5564,5009,555,3082,2748,334,392
2011,Pudsey,E14000886,38524,28100,12706,15394,215,4682,3963,719,4990,4483,507,537
2011,Richmond (Yorks),E14000895,44047,29511,16839,12672,186,5488,1698,3790,7928,5606,2322,934
2011,Rother Valley,E14000903,39686,29391,14096,15295,87,5364,4352,1012,4247,3833,414,597
2011,Rotherham,E14000904,37358,20928,9650,11278,110,11018,9024,1994,4561,4196,365,741
2011,Scarborough and Whitby,E14000913,44001,28493,16590,11903,269,5629,1078,4551,8858,8102,756,752
2011,Scunthorpe,E14000914,37162,24050,11115,12935,92,7181,3379,3802,5321,4798,523,518
2011,Selby and Ainsty,E14000917,39532,29760,14036,15724,230,4520,3160,1360,4416,3950,466,606
2011,Sheffield Central,E14000919,44984,16345,7287,9058,287,11494,5395,6099,16196,15215,981,662
2011,Sheffield South East,E14000920,39083,25554,11142,14412,199,9468,7342,2126,3536,3102,434,326
2011,"Sheffield, Brightside and Hillsborough",E14000921,43511,21712,9420,12292,131,16301,11510,4791,4940,4472,468,427
2011,"Sheffield, Hallam",E14000922,36519,28237,15002,13235,81,3134,2375,759,4766,4188,578,301
2011,"Sheffield, Heeley",E14000923,42194,24371,10955,13416,132,12824,10670,2154,4544,4049,495,323
2011,Shipley,E14000925,41449,30225,14237,15988,250,4470,1975,2495,5974,5468,506,530
2011,Skipton and Ripon,E14000928,42778,30527,17473,13054,209,3958,1705,2253,7133,6052,1081,951
2011,Thirsk and Malton,E14000993,42235,29058,17653,11405,190,5019,423,4596,6916,5924,992,1052
2011,Wakefield,E14001009,41072,24217,11101,13116,148,10629,7645,2984,5656,5179,477,422
2011,Wentworth and Dearne,E14001028,40872,25970,11929,14041,149,9064,7635,1429,5054,4625,429,635
2011,York Central,E14001061,45282,24022,11446,12576,346,8568,6398,2170,11695,10877,818,651
2011,York Outer,E14001062,38270,31205,16905,14300,285,3111,983,2128,3285,2810,475,384
2011,Amber Valley,E14000533,37829,27414,13905,13509,121,5430,2270,3160,4338,3924,414,526
2011,Ashfield,E14000535,43405,29988,14833,15155,201,7168,5644,1524,5453,4934,519,595
2011,Bassetlaw,E14000546,44005,30293,14772,15521,150,7201,5859,1342,5587,5030,557,774
2011,Bolsover,E14000577,40914,27284,13555,13729,100,7996,6692,1304,4942,4465,477,592
2011,Boston and Skegness,E14000582,43799,27818,15555,12263,406,7242,2282,4960,7692,7027,665,641
2011,Bosworth,E14000583,42552,32357,15635,16722,262,4563,3162,1401,4947,4462,485,423
2011,Broxtowe,E14000607,40515,29764,14985,14779,144,4239,3427,812,5907,5298,609,461
2011,Charnwood,E14000625,39040,31863,16166,15697,250,2756,1793,963,3758,3366,392,413
2011,Chesterfield,E14000632,42181,26661,13672,12989,152,9619,8238,1381,5331,4861,470,418
2011,Corby,E14000648,45062,29876,12430,17446,196,7958,4898,3060,6400,5878,522,632
2011,Daventry,E14000660,38307,27920,13256,14664,293,5121,1493,3628,4445,4014,431,528
2011,Derby North,E14000662,41882,25295,12139,13156,398,8278,5323,2955,7433,6920,513,478
2011,Derby South,E14000663,43537,23673,11037,12636,359,10819,6308,4511,8094,7533,561,592
2011,Derbyshire Dales,E14000664,34003,24790,15125,9665,244,3968,1413,2555,4290,3811,479,711
2011,Erewash,E14000695,41013,29047,13205,15842,219,5672,1808,3864,5601,5169,432,474
2011,Gainsborough,E14000707,39490,28678,15161,13517,376,4362,936,3426,5401,4728,673,673
2011,Gedling,E14000710,40286,29781,14457,15324,231,4307,1763,2544,5570,5046,524,397
2011,Grantham and Stamford,E14000714,44858,30111,14390,15721,406,6425,5075,1350,7151,6571,580,765
2011,Harborough,E14000728,39736,31237,15992,15245,391,3279,1402,1877,4426,4026,400,403
2011,High Peak,E14000748,38946,28059,13693,14366,229,4945,3836,1109,5231,4706,525,482
2011,Kettering,E14000769,39701,27562,12070,15492,342,5187,3506,1681,6048,5533,515,562
2011,Leicester East,E14000782,38145,22190,10495,11695,243,8270,5445,2825,6836,6242,594,606
2011,Leicester South,E14000783,43565,20131,9932,10199,195,10492,6325,4167,12041,11411,630,706
2011,Leicester West,E14000784,41415,18849,7591,11258,336,12508,9278,3230,9122,8554,568,600
2011,Lincoln,E14000792,45114,25781,11588,14193,237,9197,7769,1428,9237,8245,992,662
2011,Loughborough,E14000797,38941,26050,12692,13358,322,5592,3686,1906,6537,6047,490,440
2011,Louth and Horncastle,E14000798,43277,30930,19025,11905,295,4312,969,3343,7005,6081,924,735
2011,Mansfield,E14000810,44928,29908,14658,15250,169,8199,6208,1991,6115,5616,499,537
2011,Mid Derbyshire,E14000814,36039,29079,14953,14126,210,2638,1352,1286,3762,3389,373,350
2011,Newark,E14000829,41691,30268,15462,14806,275,5161,3664,1497,5430,4918,512,557
2011,North East Derbyshire,E14000843,39572,28096,15000,13096,164,7963,7194,769,2999,2636,363,350
